Periodo,Media móvil de 3 observaciones,Variación mensual anualizada (a. e.),Intervalo de 1.65 d. e.,Intervalo de 1.65 d. e.,Objetivo de inflación general
ene-17,9.34,21.39,-0.76,9.8,3
Feb-17,10.57,7,-0.76,9.8,3
Mar-17,11.54,6.8,-0.76,9.8,3
abr-17,6.79,6.58,-0.76,9.8,3
May-17,6.49,6.08,-0.76,9.8,3
Jun-17,5.56,4.04,-0.76,9.8,3
Jul-17,4.72,4.07,-0.76,9.8,3
ago-17,4.51,5.44,-0.76,9.8,3
Sep-17,4.3,3.42,-0.76,9.8,3
Oct-17,4.68,5.21,-0.76,9.8,3
Nov-17,5.2,6.99,-0.76,9.8,3
dic-17,6.01,5.84,-0.76,9.8,3
ene-18,6.02,5.24,-0.76,9.8,3
Feb-18,5.31,4.85,-0.76,9.8,3
Mar-18,4.26,2.7,-0.76,9.8,3
abr-18,3.1,1.77,-0.76,9.8,3
May-18,3.01,4.59,-0.76,9.8,3
Jun-18,3.91,5.41,-0.76,9.8,3
Jul-18,5.13,5.39,-0.76,9.8,3
ago-18,5.94,7.01,-0.76,9.8,3
Sep-18,5.81,5.03,-0.76,9.8,3
Oct-18,5.34,4.01,-0.76,9.8,3
Nov-18,4.79,5.35,-0.76,9.8,3
dic-18,5.6,7.47,-0.76,9.8,3
ene-19,3.98,-0.73,-0.76,9.8,3
Feb-19,2.22,0.1,-0.76,9.8,3
Mar-19,1.09,3.97,-0.76,9.8,3
abr-19,3.11,5.33,-0.76,9.8,3
May-19,4.2,3.3,-0.76,9.8,3
Jun-19,3.18,0.96,-0.76,9.8,3
Jul-19,2.41,3,-0.76,9.8,3
ago-19,1.3,-0.03,-0.76,9.8,3
Sep-19,2.01,3.1,-0.76,9.8,3
Oct-19,2.51,4.51,-0.76,9.8,3
Nov-19,4.42,5.65,-0.76,9.8,3
dic-19,5.4,6.05,-0.76,9.8,3
ene-20,5.09,3.59,-0.76,9.8,3
Feb-20,5.08,5.61,-0.76,9.8,3
Mar-20,2.51,-1.54,-0.76,9.8,3
abr-20,-1.28,-7.52,-0.76,9.8,3
May-20,0.55,11.57,-0.76,9.8,3
Jun-20,3.3,6.76,-0.76,9.8,3
Jul-20,8.18,6.29,-0.76,9.8,3
ago-20,6.14,5.37,-0.76,9.8,3
Sep-20,4.72,2.55,-0.76,9.8,3
Oct-20,4.48,5.55,-0.76,9.8,3
Nov-20,1.88,-2.32,-0.76,9.8,3
dic-20,2.44,4.26,-0.76,9.8,3
ene-21,3.21,7.93,-0.76,9.8,3
Feb-21,6.76,8.12,-0.76,9.8,3
Mar-21,8.29,8.81,-0.76,9.8,3
abr-21,8.62,8.93,-0.76,9.8,3
May-21,8.83,8.76,-0.76,9.8,3
Jun-21,8.03,6.4,-0.76,9.8,3
Jul-21,6.88,5.5,-0.76,9.8,3
ago-21,4.89,2.79,-0.76,9.8,3
Sep-21,5.18,7.3,-0.76,9.8,3
Oct-21,6.19,8.56,-0.76,9.8,3
Nov-21,9.24,11.91,-0.76,9.8,3
dic-21,8.28,4.48,-0.76,9.8,3
ene-22,6.84,4.29,-0.76,9.8,3
Feb-22,6.28,10.17,-0.76,9.8,3
Mar-22,8.59,11.43,-0.76,9.8,3
abr-22,10.64,10.32,-0.76,9.8,3
May-22,10.14,8.69,-0.76,9.8,3
Jun-22,9.87,10.61,-0.76,9.8,3
Jul-22,8.97,7.61,-0.76,9.8,3
ago-22,9.08,9.02,-0.76,9.8,3
Sep-22,7.97,7.28,-0.76,9.8,3
Oct-22,7.13,5.11,-0.76,9.8,3
Nov-22,5.82,5.09,-0.76,9.8,3
dic-22,5.1,5.09,-0.76,9.8,3
ene-23,5.18,5.34,-0.76,9.8,3
Feb-23,5.55,6.21,-0.76,9.8,3
Mar-23,4.47,1.9,-0.76,9.8,3
abr-23,3.85,3.48,-0.76,9.8,3
May-23,2.9,3.33,-0.76,9.8,3
Jun-23,2.7,1.3,-0.76,9.8,3
Jul-23,3.07,4.62,-0.76,9.8,3
1q ago-23,4.38,7.3,-0.76,9.8,3
